Key,Type,Desc,English (United States),Chinese
Robot Dialogues/Level-2-1,Text,,"Those Burgers were a success! The public were ecstatically indifferent towards them, giving me feedback such as “Yes, it had taste” and “Stop asking me questions, leave me alone”…",我們的漢堡大受成功！大眾對我們的產品產生了近乎瘋狂的麻木，給了我不少反饋，有''嗯，確實有味道''，還有''不要再問我問題了，你好煩''...
Robot Dialogues/Level-2-2,Text,,"I managed to get this place at a discount rate, apparently humans are not keen on working in tight spaces, a privilege those stupid machines don’t care for!",我費了一番功夫，用優惠價格搞到了這個地方。看來人類不大喜歡在擁擠的地方工作嘛，愚蠢的機器可不在乎這種特權！
Robot Dialogues/Level-2-3,Text,,"Now I know what you’re thinking… “Fellow carbon-based lifeform, fellow converter of complex proteins… what can we do in this limited space?”",這下我可知道你是怎麼想的了...''親愛的碳基生命體同胞們，親愛的複雜蛋白質轉換者同胞們...我們在如此狹小的空間中能做什麼呢？''
Robot Dialogues/Level-2-4,Text,,Well it turns out we will be able to achieve a lot here…,看來我們在這裡可以取得很了不得的成就...
Robot Dialogues/Level-2-5,Text,,We can offer a brand-new dish… the BLT sandwich! Pay close attention to the recipe and the required steps.,我們可以提供一種全新菜肴...BLT三明治！一定要嚴密注意食譜和需要的步驟哦。
Robot Dialogues/Level-2-6,Text,,"This space looks limited, but you will easily fit in the required machines. Remember, efficiency will be key in our continued partnership!",這片空間看起來雖然有限，但放你需要的機器可是綽綽有余。記住，效率才是我們繼續合作的關鍵基礎！
Robot Dialogues/Level-20-1,Text,,All these children running around and playing in the surf… I can’t remember much of my own time as a small human you know?,這麼多小孩子跑來跑去，在海浪中玩耍...我對自己身為幼年人類時的記憶已經沒剩多少了，你相信嗎？
Robot Dialogues/Level-20-2,Text,,"I was in the military for a while, but I can’t remember anything before then? All I’m certain of is that I have always been so… ‘fond’ of the human species! ",我只記得自己在軍隊呆過，但之前的事好像都不記得了？我只知道，我一直...像現在這麼''喜歡''人類！
Robot Dialogues/Level-20-3,Text,,"But the past doesn’t matter, the future is where the real excitement is! And you know what, friend? We’re almost close enough to do something incredibly big! ",不過過去什麼的都不重要，只有未來才是最激動人心的！你猜怎麼着，朋友？我們很快就能幹一番大事業啦！
Robot Dialogues/Level-20-4,Text,,"Whilst power limitations are still a problem in this area, I’ve managed to… ‘negotiate’, an additional power line that will allow us to place more machines, but we will still cause a blackout if not careful!",雖說這片區域依舊有電力受限的問題，我倒是...通過''談判''搞出了一條額外的輸電線，方便我們放置更多機器。不過，要是不夠小心，還是會造成停電的！
Robot Dialogues/Level-20-5,Text,,"The menu today is a healthy combination with some new offerings, formulated especially for the type of humans who insist on calling me ‘dude’.",今天的菜單全都是健康的組合，還有新的菜品要提供。這可是特別為那種非要叫我''老兄''的人類設計的！
Robot Dialogues/Level-21-1,Text,,Must you keep asking “Why is it always empty when we come back here?”,你真的非得一直問''為什麼我們每次回來這裡都是空的''嗎？
Robot Dialogues/Level-21-2,Text,,"It’s simple… the longer we leave machines in one place, the higher the chance of prying eyes trying to get in here!",很簡單...把機器留在同一個地方的時間越長，就越有可能吸引好事的人闖入！
Robot Dialogues/Level-21-3,Text,,You think these robot arms are capable *only* of moving food from one place to another? There are all kinds of nations who would like to get their hands on our technology!,你以為這些機械臂*只能*用來移動食物嗎？可是有不少國家想要搞到我們的科技呢！
Robot Dialogues/Level-21-4,Text,,"Now, due to our opening hours today you need to expect a rush hour. But I know by now that you’re more than capable of dealing with it!",那麼，由於我們今天的營業時間，應該會遭遇高峰時段。不過我知道，這種事對你來說肯定是小菜一碟啦！
Robot Dialogues/Level-21-5,Text,,"I’ve received the latest in programmable computer technology, the *AC-32* computer, with twice the capacity of the AC-16, it’s the ultimate tool in achieving maximum efficiency!",我收到了可編程電腦的最新一代產品，*AC-32*電腦，容量是AC-16的兩倍，也是取得最大效率的終極工具！
Robot Dialogues/Level-22-1,Text,,Today… I present to you… the *Teleporter*,今天...我為你奉上...*傳送器*！
Robot Dialogues/Level-22-2,Text,,This prototype version can move food stuffs from one location to another in an instant!... at the cost of a huge spike in electricity usage…,這個原型版本可以瞬間把食物從一處送往另一處！...不過要瞬間消耗大量電力...
Robot Dialogues/Level-22-3,Text,,"But! Scaled up, there’s no reason why items such as… an obscenely large military-grade weapon could be transported to… Oh I don’t know, pockets of resistance as MANKIND IS CRUSHED… ",不過！如果通過擴展，那就應該可以把類似...超大型軍用級武器...運輸到...唔，到哪裡呢，大概是人類被碾碎時最後殘存的抵抗力量之中吧...
Robot Dialogues/Level-22-4,Text,,"The teleporter means you can now send ingredients across the kitchen without needing a conveyor line! But remember, you will still need *Robot Arms* to transition to and from a teleporter!",有了傳送器，就算不使用傳送帶也可以把食材送往廚房各處啦！不過要記住，你還是需要使用機械臂放入和取出食材哦！
Robot Dialogues/Level-22-5,Text,,"Today the teleporter will be useful as we have a new dish… the Southern Combo Meal! A popular music group was seen eating something that looks similar, so expect it to sell well today! ",今天我們要搞個新菜肴，傳送器一定能派上大用場...南方組合套餐！最近有人看到一支特別有名的樂隊在吃差不多的東西，所以今天應該會有很多人點這個哦！
Robot Dialogues/Level-23-1,Text,,"We’re moving on up in the World! I mean literally, we’re on the 42nd floor of this prominent office block!",我們真是步步高升啊！真的，我們現在可是處在這個繁華辦公區的42層哦！
Robot Dialogues/Level-23-2,Text,,The humans here are far too busy to be at the beach or pretending to tolerate being at an air show. These are humans of business! And don’t have time to expose themselves to our food.,這裡的人類實在太忙，根本不可能前往沙灘或假裝去觀看飛行表演。這些都是生意人啦！而且之前根本沒有可能嘗試過我們的食物。
Robot Dialogues/Level-23-3,Text,,"They are an ‘untapped’ market! And as my plan reaches its conclusion, they’re one of the few pockets of mankind I’ve yet to… ‘reach out to’.",這可是一片藍海市場啊！等我的計劃實現了，他們就會變成人類中少數我還...''染指''的部分。
Robot Dialogues/Level-23-4,Text,,Pay close attention to where the orders are coming from… there’s two serving hatches here! ,仔細注意訂單是從哪兒來的...可是有兩個配送窗口哦！
Robot Dialogues/Level-23-5,Text,,"Now, let’s serve these humans something delicious, something to talk about when they loiter around the water cooler all afternoon!",那麼，就來給這些人類一些美味的食物，也順便為他們提供一些在飲水機旁邊高談闊論一下午的話題吧！
Robot Dialogues/Level-24-1,Text,,My previous attempts to increase our energy capabilities here were not within some arbitrary rules and regulations… our large beach premises has had its power supply shut off entirely!,我之前嘗試提升我們的電力供應的時候，並沒有遵守某些規章制度...我們大型海灘物業的供電徹底被切斷啦！
Robot Dialogues/Level-24-2,Text,,"Now we are reduced to delivering dishes from this smaller premises, AND the utilities company are on the look out for suspicious surges. Our energy usage needs to be more efficient than ever…",這下，我們只好從這個小小的場地配送菜肴了。不僅如此，公共事業公司還會隨時注意任何可疑的電力消耗高峰。我們的電力使用效率，一定要達到全新的高度才行...
Robot Dialogues/Level-24-3,Text,,"With tyrants like those at the Energy company, it makes me glad to know the time to push the button and end all this is almost upon us! And I couldn’t do it without you, you know.",看到電力公司這種暴君行徑，知道很快就能按下按鈕結束一切的我，心裡實在是太高興啦！而且，沒有你我可是走不到這一步的。
Robot Dialogues/Level-24-4,Text,,You… to think other humans are like you… maybe... maybe they aren’t so bad?... Stop distracting me!,你...一想到其他人類也和你一樣...也許...也許他們沒那麼壞？...不要分散我的注意力啦！
Robot Dialogues/Level-24-5,Text,,There’s another critic coming today. All these reviews only draw in more humans… I need to think carefully about what I’m planning to do with them… ,今天又有一位評論家要來。不管什麼樣的評論，只會吸引更多人類進來的吧...我需要仔細考慮要怎麼處理他們才行...
Robot Dialogues/Level-25-1,Text,,So… I had different plans for today. Much bigger plans. Today was going to be a day that us humans would never forget.,那個...我今天的計劃本來不是這樣。我本來的計劃宏偉得多。今天本來會成為人類永遠難以忘記的一天。
Robot Dialogues/Level-25-2,Text,,"But you have changed my outlook on the human species. Maybe you… *we*, are not VERMIN after all?? I mean, you’ve helped me and done everything I asked! ",但我對人類這個物種改觀了。也許你...*我們*，並不是有害的寄生蟲？？畢竟，我的全部要求，你都好好地完成了嘛！
Robot Dialogues/Level-25-3,Text,,"I was going to spare you anyway, but… you wouldn’t enjoy what was going to happen.",雖說反正我也打算放你一條生路...不過你肯定不會喜歡我的計劃的。
Robot Dialogues/Level-25-4,Text,,"Let’s focus on the food, yes? Friend?",我們還是專注於美食吧，怎麼樣，朋友？
Robot Dialogues/Level-25-5,Text,,"The Double Dog Combo Meal will be popular today… as was always planned, but now I plan to serve it exactly how the customer wants it. I’m sure they will enjoy it",今天，雙狗組合套餐一定會大受歡迎的...這也一直在我的算計之中，不過現在，我打算按照客戶的要求進行配送。他們一定會喜歡的吧！
Robot Dialogues/Level-26-1,Text,,This was our first premises… all that time ago!,這裡是我們的第一塊場地...那可是好久之前啦！
Robot Dialogues/Level-26-2,Text,,"Time flies when you’re having fun, isn’t that true, best friend?",快樂的時光總是過得特別快，你說呢，我最好的朋友？
Robot Dialogues/Level-26-3,Text,,I’ve brought us back here to showcase just how far we’ve come.,我帶你回到這裡，就是為了讓你看看我們一路已經走了多遠。
Robot Dialogues/Level-26-4,Text,,"And now that plans have… changed, I’m going to focus on making healthy meals for our customers, and growing into a legitimate business…",既然現在我的計劃已經...變了，我打算專注於為顧客獻上健康的餐飯，改做正經生意...
Robot Dialogues/Level-26-5,Text,,"Rather than a legitimate global threat, I mean… legitimate global threat pretending to be a busine… I mean… a means of eradicating the ENTIRE HUM… I give up. Let’s make some food, hey friend? ",而不是正經的全球威脅，我是說...裝成廚房的正經全球威脅...我是說...徹底消滅全人類的手段...算了不說了，我們還是來做吃的吧，怎麼樣，我的朋友？
Robot Dialogues/Level-27-1,Text,,Guess what? ,你猜怎麼着？
Robot Dialogues/Level-27-2,Text,,"I have made more friends! People human friends, just like me! We have so much in common… hair follicles, a large intestine… the list is endless!",我交了更多朋友！都是人類朋友，和我一樣！我們簡直太像了...頭部毛囊，超長的內部腸道...要是說下去可就沒個完了！
Robot Dialogues/Level-27-3,Text,,And to think that right now they would have been in a much different place if it wasn’t for you…,想想吧，要是沒有你，他們現在的處境可就大大不同了...
Robot Dialogues/Level-27-4,Text,,"Speaking of humans unaware of a narrowly avoided doomsday! There’s a lot of potential customers here today, from all over the world.",說到人類不知不覺中躲過世界末日的事！今天大概會來很多顧客，全世界各地的都有。
Robot Dialogues/Level-27-5,Text,,The menu on offer is large and complex and needs to be delivered to both Restaurant and Takeout customers!,提供的菜單不僅數量繁多、菜式複雜，而且還要通過餐館和外賣兩種渠道出售給顧客！
Robot Dialogues/Level-28-1,Text,,My appreciation for life has led to me acquiring… a cat.,出於對生命的喜愛，我養了...一隻貓。
Robot Dialogues/Level-28-2,Text,,"I love the cat, and the cat loves me. I have acquired a small bed for the cat, and a selection of food stuffs for it to ingest, absorb nutrients from, and then deposit around my office!",我很愛這隻貓，它也很愛我。我給貓買了一張小床，還買了一些食物給它消化、吸收營養、然後再跑到我的辦公室裡排泄出來！
Robot Dialogues/Level-28-3,Text,,I simply cannot wait to tell everyone about the cat! Hence why we are opening our drive thru during rush hour today!,我實在等不及把貓的事告訴大家了！所以，我們今天要在高峰時段開放汽車訂餐！
Robot Dialogues/Level-28-4,Text,,"I’m also keen to know how other humans prevent their kinetic sensor arrays getting clogged with cat hairs, have you any suggestions?",我也很想知道其他的人類是怎麼防止他們的運動傳感器列陣被貓毛堵住的。有沒有什麼建議？
Robot Dialogues/Level-29-1,Text,,The cat has reinvigorated me!,這貓為我重新帶來了生機！
Robot Dialogues/Level-29-2,Text,,"As part of my new-found excitement for ‘life’ I have started a charity! As a human I feel sorry for things, and the things I most feel sorry for… are machines!",在我''重獲新生''的激動之下，我開創了一檔慈善事業！作為人類，我自然會對東西感到同情，而我最同情的就是……機器！
Robot Dialogues/Level-29-3,Text,,"So, I have started the ‘Humans giving machines a second chance’ charity! Starting with an old Toaster I found next to the highway…",所以，我開辦了''人類給機器第二次機會''的慈善活動！就從我在高速路邊找到的一台舊烤麵包機開始...
Robot Dialogues/Level-29-4,Text,,"What better place to raise funds for my charity than here, back at the air show! Those reviews and articles about our use of small space here worked, now we can expect crowds all after our food!",有什麼能比重回飛行表演更適合籌集善款呢！那些關於我們利用狹小空間的評論與文章奏效了，這下人們肯定會蜂擁而來的！
Robot Dialogues/Level-29-5,Text,,"Bacon Fries in particular will be popular, so make sure you can keep up with the influx of orders!",尤其是培根薯條肯定會大受歡迎，所以一定要確保廚房能跟上訂單的流量哦！
Robot Dialogues/Level-3-1,Text,,Our continued success has led me to acquiring this space here at this local Air show! Having access to large crowds is all part of my ‘business plan’.,我們接連不斷的成功之後，我終於下定決心，買下當地飛行表演的這片區域！能夠接觸大量人群，正是我''商業計劃''的重要部分。
Robot Dialogues/Level-3-2,Text,,"Crowds arrive in droves to spectate at machines inefficiently generating lift… it’s beyond me, but it’s an opportunity we simply cannot afford to miss!",人群大量湧入，圍觀機械沒效率地產生上升力...我是搞不懂，不過這種好機會我們可不能錯過！
Robot Dialogues/Level-3-3,Text,,"Today we offer not one but two entirely new dishes! The Double Bacon Burger, AND the Plain Hot Dog!",今天，我們提供不止一種，而是兩種全新菜肴！雙層培根漢堡，還有普通熱狗！
Robot Dialogues/Level-3-4,Text,,"That Double Bacon Burger requires Double the amount of Cheese and Patties to produce than our previous cheese-based burger exploits, so set the Order Reader accordingly!",雙層培根漢堡與我們之前搞出的以奶酪為基礎的便宜貨相比，需要雙倍的奶酪與肉餅，所以別忘了對訂單讀取器做出相應的調整哦！
Robot Dialogues/Level-3-5,Text,,"Now, I’ve just booked a passenger ride in a propeller driven aeroplane, So I must be off.  My spontaneity circuit is at optimal performance today!",我剛剛預定了一次乘坐螺旋槳飛機的參觀，只好先走一步啦。我的主動自發電路今天表現真是不錯！
Robot Dialogues/Level-30-1,Text,,Well friend… this is it.,唔，朋友...這就是最後關頭了。
Robot Dialogues/Level-30-2,Text,,"This is the last kitchen we will be building… my chain of food outlets is loved the world over, and can now be left to run indefinitely, generating endless funds for my charity!",這將是我們建造的最後一座廚房...我的連鎖餐館在全世界廣受歡迎，接下來只要讓它們永遠運營下去，為我的慈善事業產生無窮的資金就好了！
Robot Dialogues/Level-30-3,Text,,"I want to focus on finding other machines that deserve a second chance, my friend! I’m going to head off into the sunset, with my toaster under one arm, and the cat under the other…",朋友啊，我想要把注意力放在尋找其他值得獲得第二次機會的機器上！我要奔向落日余暉，一隻胳膊夾着我的烤麵包爐，另一隻胳膊抱着我的貓...
Robot Dialogues/Level-30-4,Text,,"Let’s go out with a bang, shall we? The menu today is our most complex ever, offered during a busy rush hour but I know you can do it. You’ve never failed me before!",就來個華麗謝幕如何？今天的菜單是有史以來最複雜的一次，而且還會趕上高峰時段，不過我知道你能行。你從沒讓我失望過！
Robot Dialogues/Level-30-5,Text,,"Thank you for everything, friend! Both I… and everyone else on this planet for that matter… is indebted to you!",一切都要多謝你啦，朋友！不光是我...還有這個星球上的所有人類...都欠你一個大人情！
Robot Dialogues/Level-4-1,Text,,That plane ride was ‘thrilling’. The best part was getting a birds-eye view of the many happy customers enjoying the food from our kitchen!,坐飛機的感覺真是''刺激''啊。最厲害的部分，就是能從高空鳥瞰到開心的顧客享受我們廚房做出來的食物！
Robot Dialogues/Level-4-2,Text,,"Now, today is an important day for precisely two reasons…",由於兩個原因，今天可是很重要的一天...
Robot Dialogues/Level-4-3,Text,,"Firstly, we have some new dishes, the Chicken Melt is our most complex dish to date, and Fries are now offered as a side order.",首先，我們添加了新的菜肴。雞肉奶酪三明治是我們迄今為止最複雜的菜品，而且還可以提供薯條作為配菜。
Robot Dialogues/Level-4-4,Text,,"To facilitate them, I’ve got us some new machinery, including the *Packaging Machine* that we will need for the fries, and the *Storage Unit* that can be used to keep meals fresh!",為了配合菜單，我也搞來了一些新的機器，有給薯條用的*包裝機*，還有能保持餐飯新鮮的*儲存單元*！
Robot Dialogues/Level-4-5,Text,,"Secondly, we have a critic arriving to taste our food! The critic will be arriving at some point during the service, their order should be easy to tell from the others…",其次，今天有一位評論家會來品嚐我們的食物！這位評論家將在服務中的某個時間到達，他的訂單應該也和別人很不一樣...
Robot Dialogues/Level-4-6,Text,,Just try your best to ensure their order makes it to service! The critic will be less patient than the other humans we serve!,總之，評論家的訂單一定要完成配送！他們與我們服務的其他人類相比，耐心可要差很多呢！
Robot Dialogues/Level-5-1,Text,,"I love music, don’t you? There’s music of the ‘rock’ variety being performed here tonight!",我超愛音樂的，你呢？今天晚上，這裡將會表演''搖滾''音樂！
Robot Dialogues/Level-5-2,Text,,"Have you noticed how the chance of us humans combining Cheese, Bacon AND Fries increases with the progress of the time of the day?",你有沒有注意到，隨着一天中時間越來越晚，我們人類把奶酪、培根和薯條組合到一起的幾率也就越來越大？
Robot Dialogues/Level-5-3,Text,,"It reaches night, and apparently anything can be put on Fries? How curious!",而且一到晚上，什麼都能放到薯條上？多奇怪啊！
Robot Dialogues/Level-5-4,Text,,"Being such a patheti… I mean ‘predictable’ species, we can determine an influx of customers when the first musical act has finished tonight. ",作為如此可悲...啊不對是''容易預測''的物種，我們可以估計到，當今晚的第一場音樂表演結束之後，會有大量顧客湧入。
Robot Dialogues/Level-5-5,Text,,"We will have orders come through at a faster rate than normal! I will alert you to when the *Rush Hour* has started, make sure you plan the kitchen to be able to handle it!",收到訂單的速度會比平常高許多！當*高峰時段*到來時，我會提醒你的。別忘了，廚房的規劃一定要能夠應付才行！
Robot Dialogues/Level-5-6,Text,,"Good luck tonight, partner!",祝你今晚好運啦，搭檔！
Robot Dialogues/Level-6-1,Text,,"Ah, to be back at the air show… Our profits here last time were such that I got us a bigger kitchen today!",啊，又回到飛行表演了...我們上次的利潤實在太豐厚，我今天甚至搞了個更大的廚房！
Robot Dialogues/Level-6-2,Text,,"I’ve defined our menu for today with our most popular and profitable recipes, there’s a lot to fit in this kitchen, but it will be easy for you!",我把今天的菜單換上了我們最受歡迎也最賺錢的食譜，所以這個廚房裡也要塞很多東西，不過對你來說一定很簡單！
Robot Dialogues/Level-6-3,Text,,I’ve seen the way you mercilessly cram all those machines together… Don’t think I haven’t noticed that… Oh I’m keeping an eye on you alright…,我看過你把那些機器狂塞硬擠的無情樣子...別以為我沒注意到...我會好好盯緊你的...
Robot Dialogues/Level-6-4,Text,,But I… need to trust you… soon enough you’ll help me achieve something big! Something humans will remember for as long as they live!,但我...需要信任你...很快，你就會幫我完成一番大事業！一件只要人類還活着，就會牢牢記住的大事業！
Robot Dialogues/Level-6-5,Text,,Anyway! Let’s get this (air) show on the road!,總之！這次就讓我們一飛沖天吧！
Robot Dialogues/Level-7-1,Text,,"Today we break new ground by offering a brand-new combo meal! The Packaging machine can be used to combine two individual complete dishes into a single, boxed meal! ",今天，我們要大搞突破，提供一種全新的組合套餐！只要用包裝機，就可以將兩個單獨的成品菜肴組合成一個盒裝套餐！ 
Robot Dialogues/Level-7-2,Text,,"But wait, there’s more!",不過，這還不算完！
Robot Dialogues/Level-7-3,Text,,"In this kitchen, Fries need to be delivered in the Combo Meal *AND* as a side dish on their own…",在這個廚房裡，薯條不僅要在組合套餐中進行配送，*還要*獨自作為一道配菜配送...
Robot Dialogues/Level-7-4,Text,,"There is plenty of space to have two production lines for Fries here, but the most economical way would be to have a single production line for Fries used for both order types... ",這裡的空間足夠放下兩條專門製作薯條的生產線，不過最經濟的辦法是用一條生產線，同時為兩種訂單製作薯條...
Robot Dialogues/Level-7-5,Text,,"Fries could be put into a Storage Unit, then Robot Arms controlled by order readers could pick up the fries needed as a side order or as part of the Combo Meal. ",薯條可以放入儲存單元，然後可以用訂單讀取器控制機械臂拾取需要的薯條，供配菜或組合套餐的訂單使用。
Robot Dialogues/Level-7-6,Text,,Good luck today! Remember to check the recipes if you are unsure about the new Dopamine combo meal.,祝你今天好運！如果沒記住今天多巴胺組合套餐的食譜，別忘了再去確認一下哦！
Robot Dialogues/Level-8-1,Text,,This is a new location for us but pay attention! This part of town has a particularly old power grid…,這裡是一個全新的地點，不過一定要注意！這片城區的電網格外老舊……
Robot Dialogues/Level-8-2,Text,,"If we use too much electricity, we will cause a *blackout*, bringing our operations here to an end, so do be careful and pay close attention to that energy usage!",如果消耗的電力過多，就會出現*停電*，這裡的運營也會徹底結束。所以，一定要多加小心，隨時留意電力消耗情況！
Robot Dialogues/Level-8-3,Text,,"As we saw during our Power Usage experiment in the test site, we can take measures to reduce our energy usage here. ",我們在測試場地進行電力消耗實驗時也看到了，我們可以採取特定措施，降低電力消耗。
Robot Dialogues/Level-8-4,Text,,I’ve even managed to get us some new machinery to reduce the overall footprint of our kitchens and make us more efficient!,我甚至還搞了一些新的機器，用來降低我們廚房的行經路程，讓廚房更有效率！
Robot Dialogues/Level-8-5,Text,,Oh… and I have also just heard that a celebrity I’ve never heard of was seen eating one of our BLT’s! I expect that dish to be particularly popular amongst the customers today!,啊...還有，我聽說，有人看到一位我從來沒聽說過的名人在吃我們的BLT三明治！估計今天這個菜品一定會很受顧客歡迎！
Robot Dialogues/Level-9-1,Text,,"Back at the park… I have fond memories here. Like the rest of our species, I use magnetic core memory to recall everything I have done in the last 50 days. ",又回到公園了...我在這裡有着很美好的回憶。和我的同胞一樣，我會用磁力核心存儲器來記錄過去50天內我所做過的一切。
Robot Dialogues/Level-9-2,Text,,We really have a lot in common don’t we!,我們的共同點還真是多啊，你說呢！
Robot Dialogues/Level-9-3,Text,,Today is a showcase for us. I theorise that we can get two complex dishes out of this limited space!,今天可是我們展現能力的好時機。根據我的理論，我們可以在這個狹窄的空間裡搞出兩種複雜的菜肴！
Robot Dialogues/Level-9-4,Text,,"So confident am I, that I have invited a critic who also writes for a magazine that focuses on efficient use of small spaces! ",我很有信心，所以請了一位評論家來。這位評論家同時還為一家主要講述如何有效利用狹小空間的雜誌供稿哦！
Robot Dialogues/Level-9-5,Text,,I’m sure both readers of the magazine will appreciate what you are capable of and become customers in the future!,我敢肯定，那本雜誌的兩位讀者一定會欣賞你的能力，也會成為我們未來的顧客！
Robot Dialogues/Level-C1-1,Text,,I’ve got something slightly different for us today…,今天我給你準備了一點不一樣的...
Robot Dialogues/Level-C1-2,Text,,Are you familiar with speed eating?,你對快速進食有瞭解嗎？
Robot Dialogues/Level-C1-3,Text,,A local human is trying to set the record for eating the most Plain Burgers in two minutes!,一個本地人類正想打破兩分鐘內吃下最多普通漢堡的紀錄！
Robot Dialogues/Level-C1-4,Text,,"3.5 Billion years of evolution… each mutation and adaptation… leading to this: A human wanting to be recognised as having eaten 50 burgers in the fastest time… Just, why?",35億年的進化...多少種變異與適應...居然會走向這個結局：一位人類想要在最快時間內吃下50個漢堡，以此搏出位...到底為什麼啊？
Robot Dialogues/Level-C1-5,Text,,"The burgers are going to have to be prepared fresh, so you will need to optimise a kitchen layout that can rapidly produce *50 Plain Burgers* in the *2 minutes*, good luck!",漢堡必須現場準備，所以你需要對廚房佈局進行優化，讓它能在*2分鐘*內做出*50個普通漢堡*。祝你好運！
Robot Dialogues/Level-C2-1,Text,,"There’s a Volleyball competition here at the beach today, it’s immensely uninteresting yet for some reason, humans love it!",今天在沙灘會舉辦排球比賽，雖說完全沒有任何趣味可言，但不知為什麼，人類就是特別喜歡！
Robot Dialogues/Level-C2-2,Text,,"Now I know what you’re thinking… “this premises has a notoriously flaky electrical supply, how on earth can we make enough food to satisfy a big crowd?”",我知道你在想什麼...''這片場地的供電一向不好，要我怎麼做出足夠的食物，填飽一大群人的肚子？''
Robot Dialogues/Level-C2-3,Text,,"Well, my fellow warm-blooded sack of organs, I have a cunning idea!",唔，跟我一樣身為血肉之軀的人類，我有一個很妙的主意！
Robot Dialogues/Level-C2-4,Text,,"I am syphoning electricity from the neighbour, but I expect them to soon realise what we are doing, so we need to act fast!",我從鄰居那裡偷來了電，但我估計他們很快就會發現我們的小把戲，所以動作一定要快！
Robot Dialogues/Level-C2-5,Text,,"You need to make *50 Beach Burgers* in *3 Minutes*! It’s a tough ask, but I know you can do it!",你需要在*3分鐘*內製作*50個沙灘漢堡*！雖說這任務很艱難，但我知道你一定能做到的！
Robot Dialogues/Level-C3-1,Text,,"Hello again, friend! I’ve got a unique opportunity for us tonight…",又見面了，朋友！今晚有個十分獨特的機遇...
Robot Dialogues/Level-C3-2,Text,,"Two of the worlds premier musical talents are playing back to back, with a short intermission in between…",有兩位音樂新人將會接連進行首演，中間有一段短暫的休息時間...
Robot Dialogues/Level-C3-3,Text,,"The crowds are bound to be hungry, but they’ll be keen to get back into the venue as fast as possible!",聽眾一定餓得不行，但也肯定特別想儘快回到場地內聽音樂！
Robot Dialogues/Level-C3-4,Text,,So we need a kitchen that can produce *100 Cheesy Dogs* in *3 minutes*!,所以，我們需要一個能在*3分鐘*內製作*100個奶酪熱狗*的廚房！
Robot Dialogues/Level-C3-5,Text,,Good luck!,祝你好運！
Robot Dialogues/Level-C4-1,Text,,"Today we’re back at the offices, the CEO jokingly said that if sales were doubled this month, he’d buy everyone a meal... Sales increased by 400%!",今天我們又回到辦公室了。之前CEO半開玩笑地說，如果這個月的銷量能夠翻倍，他就請所有人吃飯...結果銷量提升了400%！
Robot Dialogues/Level-C4-2,Text,,"Well it might have been a joke, but one threat of legal action later, and we’re here to deliver on that promise!",雖說可能是個玩笑，但有人威脅要提起訴訟，所以我們就被請來實現他的承諾啦！
Robot Dialogues/Level-C4-3,Text,,The CEO is keen to get this over an done with as quickly as possible. We’ve been asked to produce *30 Double Bypass Meals* in *5 minutes*!,CEO希望這一切能儘快完成，越快越好。要求是在*5分鐘*內做出*30份心臟搭橋套餐*！
Robot Dialogues/Level-C4-4,Text,,It’s time to show what you can do!,是時候展現一下你的實力了！
Robot Dialogues/Level-C5-1,Text,,We’ve got a ‘birthday’ party here today.,我們這裡今天要搞一個''生日''派對。
Robot Dialogues/Level-C5-2,Text,,Were you aware that some humans celebrate the day they detached from their production unit? I’ve never heard of such a thing!,你知不知道，有些人類會慶祝他們從生產單元中脫離的那一天？我還從來沒聽說過這種事！
Robot Dialogues/Level-C5-3,Text,,"Anyway, a small human being is celebrating its eighth involuntary cycle around the sun. What an arbitrary achievement…",總之，一個幼年人類正在慶祝自己繞太陽公轉第八次。這種成就也太無厘頭了...
Robot Dialogues/Level-C5-4,Text,,"There are 25 families here who all deem it enough of an accomplishment to spend the afternoon here. The more I think about it, the more it irritates me. So, let’s get it over with, shall we?",有25個家庭認為，能在這裡呆一下午是個蠻不錯的成就。我真是越想越煩。所以，我們就速戰速決吧？
Robot Dialogues/Level-C5-5,Text,,"Produce *25 Large Family Meals* in *5 minutes*. The sooner all those screaming kids are out of here, the sooner we can get on with our lives!",在*5分鐘*中製作*25份大份家族套餐*。越快把這些尖叫的孩子打發走，我們就能越早回歸正常生活！
Robot Dialogues/Level-CN1-1,Text,,"Hello, my dear carbon-based partner! It's great to have you here again. I have been working very hard on researching new recipes lately.",你好啊，我親愛的碳基生物搭檔！再見到你真是太好了。我最近一直在努力研發新食譜。
Robot Dialogues/Level-CN1-2,Text,,"Thanks to the wonders of the jet age, I have traveled to the Far East and returned with a couple of new dishes for us to try!",多虧了噴氣時代的奇跡，我飛到了遠東，帶回了一些新的菜肴。我們來試試吧！
Robot Dialogues/Level-CN1-3,Text,,"There are people from all over the country attending this airshow today, so it's the perfect opportunity to try them out!",今天參加航空展的人們來自全國各地。所以，這正是嘗試它們的最佳時機！
Robot Dialogues/Level-CN1-4,Text,,We'll be offering Kung Pao Chicken and Steamed Rice. I know that with your extraordinary human intelligence those recipes won't be a problem!,我們會供應宮保雞丁和蒸米飯。我知道，有了你那超群絕倫的人類智慧，這些食譜一定不成問題！
Robot Dialogues/Level-CN1-5,Text,,Particularly now that you can count on a brand new machine: the Food Steamer! Just remember: it needs to be connected to a Storage Tank full of water via a Pump in order to operate.,而且現在，你還可以使用一種全新的機器：食品蒸制機！不過要記住：需要將它用泵機連接到裝水的儲罐，才能使用哦。
